DATE,MONTH,TIME,TYPE OF EMR (CATEGORY),INVOLVED,LOCATION,DISTRICT ,LATITUDE (degrees),LONGTITUDE (decimal),LATITUDE (decimal),LONGTITUDE (decimal)
"Apr 29, 2022",April 2022,3:34:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Estrada cor. Singalong,District 5," 14°35'23.32""N","120°58'51.59""E",14.589811,120.980997
"Apr 29, 2022",April 2022,12:13:00 AM,Vehicular / Road Traffic Accident,PUV vs Ebike/Bike,Padre Burgos in front of Manila City Hall,District 5," 14°35'16.75""N","121° 0'2.61""E",14.587986,121.000725
"Apr 30, 2022",April 2022,3:47:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Obesis Pandacan Manila,District 6," 14°35'2.36""N","120°59'21.45""E",14.583989,120.989292
"May 2, 2022",May 2022,10:21:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Sedan,UN Ave.,District 5," 14°34'30.42""N","120°58'46.40""E",14.575117,120.979556
"May 2, 2022",May 2022,1:35:00 PM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),roxas blvd south bound infront of dolomite beach,District 5," 14°36'28.10""N","120°57'40.48""E",14.607806,120.961244
"May 2, 2022",May 2022,7:53:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Pedestrian,Mel Lopez,District 1," 14°34'57.44""N","120°58'43.30""E",14.582622,120.978694
"May 2, 2022",May 2022,11:55:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Truck,RIZAL park ,District 5," 14°33'57.11""N","121° 0'10.61""E",14.565031,14.565031
"May 4, 2022",May 2022,1:08:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs SUV,zobel roxss st. Corner osmena highway,District 5," 14°33'54.11""N","120°59'12.22""E",14.565031,120.986728
"May 4, 2022",May 2022,9:59:00 PM,Vehicular / Road Traffic Accident,Motorcycle vs Truck,mabini cor quirino,District 5," 14°33'40.08""N","120°59'31.72""E",14.561133,120.992144
"May 5, 2022",May 2022,7:51:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs PUV,Adriatico cor Century Park,District 5," 14°33'47.66""N","120°59'41.85""E",14.563239,120.994958
"May 6, 2022",May 2022,9:42:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs Ebike/Bike,Taft cor. Vito Cruz,District 5," 14°37'5.14""N","120°59'5.29""E",14.618094,120.984803
"May 8, 2022",May 2022,7:59:00 AM,Vehicular / Road Traffic Accident,Other:,Sta. Cruz Manila,District 3," 14°35'43.69""N","120°58'55.23""E",14.595469,120.982008
"May 8, 2022",May 2022,8:09:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Quezon Bridge Northbound,District 3," 14°36'19.55""N","120°57'41.32""E",14.605431,120.961478
"May 10, 2022",May 2022,1:56:00 AM,Vehicular / Road Traffic Accident,Other:,Mel Lopez Blvd,District 1," 14°36'54.87""N","120°59'32.20""E",14.615242,120.992278
"May 12, 2022",May 2022,4:34:00 AM,Vehicular / Road Traffic Accident,Motorcycle (Loss of Control),Dapitan cor. Miguelin Sampaloc Manila,District 4," 14°34'21.51""N","120°59'58.57""E",14.572642,120.999603
"May 14, 2022",May 2022,4:54:00 AM,Vehicular / Road Traffic Accident,Motorcycle vs SUV,Osmena Highway cor. San Sandres,District 5," 14°34'19.03""N","120°59'6.43""E",14.571953,120.985119
